"","ML4_emp","ML1_emp","ML5_emp","ML6_emp","ML3_emp","ML2_emp","ML4_item_distilroberta","ML5_item_distilroberta","ML1_item_distilroberta","ML6_item_distilroberta","ML3_item_distilroberta","ML2_item_distilroberta","ML1_item_miniLM","ML5_item_miniLM","ML6_item_miniLM","ML4_item_miniLM","ML3_item_miniLM","ML2_item_miniLM","ML4_item_mpnet","ML6_item_mpnet","ML1_item_mpnet","ML5_item_mpnet","ML2_item_mpnet","ML3_item_mpnet","ML5_item_t5","ML1_item_t5","ML4_item_t5","ML6_item_t5","ML3_item_t5","ML2_item_t5","ML4_item_psych","ML3_item_psych","ML5_item_psych","ML1_item_psych","ML6_item_psych","ML2_item_psych","ML5_item_use_dan","ML1_item_use_dan","ML4_item_use_dan","ML3_item_use_dan","ML2_item_use_dan","ML6_item_use_dan","ML4_item_avg_trans","ML3_item_avg_trans","ML5_item_avg_trans","ML1_item_avg_trans","ML6_item_avg_trans","ML2_item_avg_trans"
"Fear",-0.023,0.956,-0.201,0.034,-0.159,0.178,-0.011,-0.063,0.694,-0.095,0.426,0.135,0.851,0.112,-0.062,-0.082,0.193,0.033,0.091,-0.004,0.616,0.016,0.181,0.313,0.085,0.63,0.041,-0.066,0.278,0.11,0.017,0.527,0.051,0.607,-0.082,-0.087,0.138,0.541,0.06,0.307,-0.154,-0.005,-0.038,0.416,0.027,0.645,-0.105,0.033
"Depe",-0.088,0.422,0.101,0.19,-0.011,0.208,0.262,0.449,0.418,0.013,-0.359,0.076,0.393,0.264,0.051,0.09,0.062,0.245,0.084,-0.228,0.6,0.55,-0.086,0.067,0.253,0.64,0.24,0.114,-0.197,-0.152,0.116,-0.35,0.436,0.701,-0.126,0.198,0.29,0.647,0.109,-0.346,0.254,-0.129,0.223,-0.456,0.4,0.593,0,0.153
"Expr",-0.056,0.834,0.043,0.094,-0.29,-0.088,-0.194,0.189,0.608,0.216,0.23,-0.092,0.148,0.023,0.346,0.155,0.398,0.063,-0.192,0.426,0.478,0.249,-0.058,0.07,0.144,0.504,-0.092,0.401,0.018,0.105,-0.349,0.1,0.108,0.683,0.1,0.47,0.164,0.748,-0.098,-0.101,-0.065,0.512,-0.169,0.073,0.149,0.532,0.234,0.124
"Gent",-0.191,0.706,0.079,0.061,0.019,0.144,0.003,0.026,0.609,0.029,0.34,-0.023,0.516,-0.203,0.119,0.299,0.195,0.221,0.002,0.288,0.569,-0.073,0.057,0.236,-0.01,0.602,-0.125,0.139,0.353,0.148,-0.071,0.331,-0.017,0.593,-0.076,0.323,-0.054,0.463,0.128,0.423,-0.148,0.208,-0.054,0.32,-0.042,0.592,-0.008,0.144
"Prud",0.154,0.076,0.159,-0.007,0.321,0.32,-0.006,-0.131,0.17,0.173,0.044,0.62,0.155,0.172,0.415,0.019,0.199,0.149,-0.214,0.069,0.329,0.23,0.439,0.291,0.058,0.402,-0.084,0.374,0.242,0.044,-0.086,-0.287,-0.061,0.507,0.381,0.604,0.134,0.128,-0.169,0.12,0.475,0.345,-0.207,-0.182,-0.056,0.383,0.278,0.668
"Crea",0.13,-0.038,0.281,0.104,0.239,0.307,0.138,0.232,-0.294,0,0.33,0.663,-0.04,0.247,0.207,0.427,-0.261,0.609,0.124,-0.048,-0.198,0.414,0.765,0.327,0.324,-0.234,0.198,0.246,0.401,0.216,0.223,-0.095,0.252,0.018,0.073,0.586,0.317,-0.424,0.177,0.097,0.666,0.366,-0.033,0.036,0.186,-0.18,-0.076,1.008
"Sent",-0.134,0.174,0.483,-0.471,-0.135,0.597,0.26,-0.033,0.492,-0.125,0.251,0.162,0.114,0.076,-0.085,0.533,0.368,0.173,-0.077,0.181,0.349,0.166,0.347,0.327,0.056,0.333,0.201,0.046,0.284,0.231,0.181,0.283,-0.091,0.407,0.094,0.187,0.027,0.298,0.301,0.129,0.141,0.142,0.121,0.264,-0.017,0.393,0.02,0.175
"Gree",-0.124,0.132,-0.051,0.477,0.359,0.225,0.563,-0.217,-0.243,0.113,0.303,0.423,0.174,-0.147,0.437,0.338,-0.114,0.494,0.129,0.156,-0.174,0.033,0.449,0.713,-0.217,-0.146,0.501,0.416,0.325,0.325,0.441,0.101,-0.23,-0.027,0.223,0.498,-0.344,-0.029,0.41,0.152,0.574,0.253,0.401,0.16,-0.294,-0.16,0.156,0.619
"Live",0.271,-0.158,0.101,0.335,0.347,0.31,0.145,-0.025,0.051,0.15,0.475,0.266,0.162,0.135,0.041,0.371,0.441,-0.022,0.297,0.212,0.105,-0.084,0.335,0.358,0.034,-0.015,0.184,0.04,0.645,0.36,0.152,0.679,0.02,0.136,0.085,-0.051,-0.104,-0.063,0.354,0.526,0.213,0.215,0.15,0.641,0.013,0.011,0.102,0.051
"Flex",0.146,-0.142,0.21,0.361,0.359,0.306,-0.002,-0.078,0.234,0.2,0.522,0.258,0.232,0.16,0.182,0.138,0.479,-0.09,0.086,0.283,0.335,-0.231,0.385,0.5,-0.088,0.271,0.035,0.114,0.582,0.321,-0.013,0.664,-0.155,0.29,0.133,0.199,-0.014,0.035,0.186,0.624,0.048,0.32,-0.069,0.638,-0.146,0.231,0.123,0.222
"Soci",0.265,0.121,-0.135,0.313,0.354,0.058,0.185,-0.135,0.145,0.222,0.437,0.129,0.496,0.022,0.162,0.063,0.58,-0.262,0.269,0.183,0.202,-0.233,0.228,0.542,-0.226,0.201,0.236,0.238,0.428,0.368,0.181,0.591,-0.035,0.03,0.306,-0.104,-0.204,0.331,0.058,0.587,0.059,0.234,0.217,0.597,-0.121,0.071,0.247,-0.075
"Sinc",-0.325,0.051,0.101,0.345,0.695,0.08,-0.161,0.144,0.223,-0.076,0.548,0.27,0.012,0.303,0.078,0.321,0.511,-0.119,0.021,0.093,0.019,0.15,0.65,0.306,0.211,0.105,-0.078,0.1,0.598,0.193,-0.146,0.654,0.349,0.095,-0.097,-0.097,0.119,0.101,-0.02,0.281,0.193,0.448,-0.111,0.611,0.315,0.033,-0.058,0.092
