0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0.99999964,0.6225926,0.75809485,0.6133412,0.38560328,0.37591657,0.36368662,0.41759342,0.51735854,0.59031266,0.39524662,0.48094466,0.38005385,0.25328878,0.4815473,0.48911554,0.30407605,0.49909434,0.29210562,0.59875244,0.5673836,0.3743716,0.60006416,0.50532323
0.6225926,1.0000001,0.71306276,0.622649,0.33859015,0.35714623,0.35570568,0.325377,0.4634397,0.6367161,0.28824997,0.5537361,0.480189,0.33945867,0.4512197,0.44670868,0.36357915,0.34074268,0.29516515,0.4318841,0.47503918,0.33798635,0.5045434,0.5137003
0.75809485,0.71306276,1.0,0.65059876,0.35130963,0.39295575,0.44277364,0.350494,0.48303434,0.5838361,0.3195485,0.52251065,0.4293143,0.34879282,0.59795815,0.5405505,0.360211,0.4208738,0.27298173,0.55132794,0.59747684,0.40001392,0.60591143,0.56066245
0.6133412,0.622649,0.65059876,1.0,0.52597255,0.5128137,0.5018535,0.41952783,0.72430974,0.46087834,0.31587642,0.56150997,0.42966166,0.41965824,0.48408225,0.46644104,0.43785268,0.45851907,0.41498718,0.4417128,0.6563803,0.49873877,0.624807,0.5822116
0.38560328,0.33859015,0.35130963,0.52597255,0.99999994,0.5462789,0.62553984,0.40568626,0.47963673,0.30007362,0.2685114,0.28085047,0.40427724,0.3662582,0.36977676,0.3756457,0.2509898,0.3518537,0.29592395,0.26302648,0.3696007,0.5023216,0.37271187,0.37587848
0.37591657,0.35714623,0.39295575,0.5128137,0.5462789,1.0000001,0.57918084,0.42471898,0.58038753,0.18755439,0.09626748,0.29105374,0.40993023,0.2678743,0.28378975,0.20410202,0.27256778,0.2020535,0.29315612,0.30125192,0.3200976,0.22098498,0.36849356,0.36014566
0.36368662,0.35570568,0.44277364,0.5018535,0.62553984,0.57918084,1.0000001,0.45769927,0.53486097,0.26047143,0.1918606,0.32634836,0.43434164,0.41248736,0.3440224,0.29033974,0.4171351,0.31647035,0.3497959,0.30993557,0.31366515,0.27387536,0.42727718,0.29628354
0.41759342,0.325377,0.350494,0.41952783,0.40568626,0.42471898,0.45769927,0.9999997,0.5829687,0.2494135,0.4698773,0.27663139,0.42525932,0.3003369,0.2574577,0.32276294,0.26076123,0.51525337,0.36376637,0.41819438,0.33727208,0.27482834,0.3799039,0.29840705
0.51735854,0.4634397,0.48303434,0.72430974,0.47963673,0.58038753,0.53486097,0.5829687,1.0,0.399821,0.43604466,0.54575044,0.3852809,0.3481373,0.34869713,0.38117895,0.42646858,0.47424495,0.47066006,0.4692998,0.56581,0.4104871,0.6140194,0.5003944
0.59031266,0.6367161,0.5838361,0.46087834,0.30007362,0.18755439,0.26047143,0.2494135,0.399821,0.99999976,0.36017448,0.5974355,0.33875397,0.33036932,0.4592887,0.4707084,0.26770937,0.27057442,0.13417704,0.43682835,0.44551566,0.30783018,0.5515537,0.48509973
0.39524662,0.28824997,0.3195485,0.31587642,0.2685114,0.09626748,0.1918606,0.4698773,0.43604466,0.36017448,1.0,0.32832098,0.3611096,0.32319164,0.2691439,0.40890247,0.30769938,0.47942704,0.30444953,0.44185218,0.38866082,0.40330908,0.5200169,0.30605704
0.48094466,0.5537361,0.52251065,0.56150997,0.28085047,0.29105374,0.32634836,0.27663139,0.54575044,0.5974355,0.32832098,0.99999994,0.26412576,0.24766551,0.34492397,0.3112231,0.5200609,0.35071397,0.36970282,0.31112805,0.47881,0.2772949,0.47305587,0.4460814
0.38005385,0.480189,0.4293143,0.42966166,0.40427724,0.40993023,0.43434164,0.42525932,0.3852809,0.33875397,0.3611096,0.26412576,0.9999995,0.46617836,0.34969616,0.42177275,0.32705802,0.2993961,0.29950622,0.38193256,0.36182165,0.34779578,0.40794018,0.31836522
