0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1.0000005,0.8284856,0.9149109,0.8759326,0.8223136,0.78569674,0.8346727,0.8592651,0.85332465,0.8510776,0.82850814,0.8392819,0.8033536,0.7833845,0.8379141,0.8806919,0.7575693,0.8321323,0.8119961,0.85534257,0.84141314,0.79441994,0.85462594,0.87239105
0.8284856,0.99999946,0.86789244,0.86045206,0.7595679,0.7263238,0.77067906,0.799984,0.77338636,0.8176697,0.80370474,0.79804426,0.8148658,0.7809661,0.8010176,0.8106415,0.7294159,0.75397843,0.75462985,0.8019449,0.7867358,0.74981713,0.7853867,0.81014997
0.9149109,0.86789244,0.99999964,0.90142417,0.80644035,0.8036432,0.8276888,0.8492058,0.8533728,0.819339,0.815665,0.854387,0.8319822,0.7967431,0.83675677,0.8559509,0.779868,0.8277873,0.8159245,0.8320711,0.8723438,0.80675304,0.833921,0.85166824
0.8759326,0.86045206,0.90142417,0.9999997,0.8061366,0.7901285,0.80582476,0.8186312,0.85454017,0.8112174,0.80887663,0.8562929,0.7807843,0.7744252,0.78396976,0.7999212,0.76025426,0.7996662,0.7743216,0.7917099,0.85221237,0.8204686,0.79808134,0.8221192
0.8223136,0.7595679,0.80644035,0.8061366,1.0000002,0.8007464,0.833943,0.8416365,0.80120355,0.7782831,0.8272937,0.7477169,0.77431667,0.796715,0.8191849,0.8261655,0.7322813,0.7965872,0.7816304,0.7771485,0.7805698,0.8166695,0.81620264,0.81272566
0.78569674,0.7263238,0.8036432,0.7901285,0.8007464,0.99999994,0.8213804,0.81188583,0.8239547,0.7216071,0.7454707,0.7426516,0.77312845,0.71674615,0.7592104,0.7519786,0.7361607,0.75978714,0.764408,0.75035274,0.7695445,0.7742838,0.7378369,0.7458186
0.8346727,0.77067906,0.8276888,0.80582476,0.833943,0.8213804,1.0000006,0.82808393,0.8159128,0.77746356,0.7683997,0.7569833,0.78200406,0.77305543,0.77938765,0.7907387,0.7679383,0.7843782,0.7955647,0.7735877,0.77072614,0.7598766,0.756817,0.783008
0.8592651,0.799984,0.8492058,0.8186312,0.8416365,0.81188583,0.82808393,0.99999994,0.85403156,0.78359234,0.8552731,0.7887926,0.8375737,0.78206164,0.8128242,0.84774244,0.748098,0.8237611,0.80791223,0.848393,0.82747084,0.79502976,0.81765175,0.8177608
0.85332465,0.77338636,0.8533728,0.85454017,0.80120355,0.8239547,0.8159128,0.85403156,1.0000007,0.7878436,0.8458197,0.8447158,0.7870047,0.7640018,0.79938316,0.7896135,0.7757815,0.8234107,0.8116561,0.816016,0.8166289,0.8024726,0.80762863,0.7994024
0.8510776,0.8176697,0.819339,0.8112174,0.7782831,0.7216071,0.77746356,0.78359234,0.7878436,1.0000002,0.8151626,0.8351565,0.7459312,0.8000628,0.84086627,0.8480969,0.7473265,0.76939446,0.7480396,0.81133443,0.8299102,0.8120424,0.8401906,0.8304071
0.82850814,0.80370474,0.815665,0.80887663,0.8272937,0.7454707,0.7683997,0.8552731,0.8458197,0.8151626,0.99999994,0.8291035,0.814102,0.7908798,0.83067536,0.8260935,0.7654424,0.8183822,0.81264865,0.83507127,0.8037044,0.7850151,0.85524654,0.8218154
0.8392819,0.79804426,0.854387,0.8562929,0.7477169,0.7426516,0.7569833,0.7887926,0.8447158,0.8351565,0.8291035,1.0000008,0.7900415,0.7693902,0.7934592,0.7987766,0.82120365,0.80310786,0.79692715,0.7962403,0.83181864,0.7988377,0.8034778,0.8230351
0.8033536,0.8148658,0.8319822,0.7807843,0.77431667,0.77312845,0.78200406,0.8375737,0.7870047,0.7459312,0.814102,0.7900415,1.0000002,0.8190655,0.817912,0.8408282,0.7450319,0.79573035,0.78872544,0.8095658,0.7726031,0.7455429,0.7737977,0.7893396
0.7833845,0.7809661,0.7967431,0.7744252,0.796715,0.71674615,0.77305543,0.78206164,0.7640018,0.8000628,0.7908798,0.7693902,0.8190655,1.0000007,0.86402136,0.84832627,0.80451417,0.7648573,0.8004098,0.8202453,0.7657378,0.77674884,0.80740935,0.8246399
0.8379141,0.8010176,0.83675677,0.78396976,0.8191849,0.7592104,0.77938765,0.8128242,0.79938316,0.84086627,0.83067536,0.7934592,0.817912,0.86402136,0.99999934,0.9163984,0.7713532,0.8410928,0.80069447,0.8604484,0.820771,0.8080462,0.8859148,0.8276269
0.8806919,0.8106415,0.8559509,0.7999212,0.8261655,0.7519786,0.7907387,0.84774244,0.7896135,0.8480969,0.8260935,0.7987766,0.8408282,0.84832627,0.9163984,1.0000001,0.7565325,0.82730395,0.7951932,0.8647599,0.83490014,0.792642,0.8789679,0.8496174
0.7575693,0.7294159,0.779868,0.76025426,0.7322813,0.7361607,0.7679383,0.748098,0.7757815,0.7473265,0.7654424,0.82120365,0.7450319,0.80451417,0.7713532,0.7565325,0.9999998,0.7786075,0.8604453,0.80572397,0.75514174,0.74879724,0.7506863,0.79420054
0.8321323,0.75397843,0.8277873,0.7996662,0.7965872,0.75978714,0.7843782,0.8237611,0.8234107,0.76939446,0.8183822,0.80310786,0.79573035,0.7648573,0.8410928,0.82730395,0.7786075,1.0000002,0.83762217,0.84173965,0.8614315,0.83138114,0.8481563,0.8230723
0.8119961,0.75462985,0.8159245,0.7743216,0.7816304,0.764408,0.7955647,0.80791223,0.8116561,0.7480396,0.81264865,0.79692715,0.78872544,0.8004098,0.80069447,0.7951932,0.8604453,0.83762217,1.0000002,0.8515103,0.79807574,0.7709598,0.8021139,0.84070075
0.85534257,0.8019449,0.8320711,0.7917099,0.7771485,0.75035274,0.7735877,0.848393,0.816016,0.81133443,0.83507127,0.7962403,0.8095658,0.8202453,0.8604484,0.8647599,0.80572397,0.84173965,0.8515103,1.0000007,0.8085627,0.7714836,0.8214016,0.84531325
0.84141314,0.7867358,0.8723438,0.85221237,0.7805698,0.7695445,0.77072614,0.82747084,0.8166289,0.8299102,0.8037044,0.83181864,0.7726031,0.7657378,0.820771,0.83490014,0.75514174,0.8614315,0.79807574,0.8085627,0.99999976,0.8511304,0.8798248,0.8661274
0.79441994,0.74981713,0.80675304,0.8204686,0.8166695,0.7742838,0.7598766,0.79502976,0.8024726,0.8120424,0.7850151,0.7988377,0.7455429,0.77674884,0.8080462,0.792642,0.74879724,0.83138114,0.7709598,0.7714836,0.8511304,1.0000007,0.7932034,0.80083567
