0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1.0000001,0.4714648,0.7266124,0.5756003,0.4219119,0.38256788,0.5015844,0.54303104,0.50780976,0.48359865,0.2801517,0.28065306,0.332499,0.28009742,0.45432246,0.525679,0.29040855,0.45143238,0.37690502,0.47281814,0.49308276,0.29823336,0.56580657,0.43008825
0.4714648,1.0,0.54583603,0.53132564,0.24169889,0.3105669,0.32955432,0.35893166,0.32388207,0.38050553,0.2356237,0.27705938,0.5042523,0.30991018,0.44093737,0.35298058,0.18534815,0.25013846,0.25388986,0.3359422,0.35314447,0.2331217,0.32378945,0.34854618
0.7266124,0.54583603,1.0000001,0.5289942,0.37784266,0.38719547,0.5435585,0.4540492,0.40635985,0.46511212,0.23241177,0.28859606,0.34258762,0.32290944,0.5181116,0.46484876,0.2762313,0.34026408,0.2915917,0.36056045,0.49332088,0.26920807,0.5150695,0.39031866
0.5756003,0.53132564,0.5289942,1.0000001,0.27231604,0.3945883,0.35402256,0.3822862,0.55946314,0.35794047,0.22823197,0.4115666,0.28954116,0.22588752,0.36842674,0.27814642,0.20753737,0.31023127,0.22398603,0.3375823,0.5143049,0.38590112,0.38604504,0.33646676
0.4219119,0.24169889,0.37784266,0.27231604,1.0000001,0.4689037,0.3664866,0.47553682,0.3437391,0.29540738,0.2080312,0.14175433,0.32668707,0.31387344,0.34794486,0.37463808,0.27731746,0.31575048,0.2704561,0.27484483,0.30764157,0.36963177,0.382106,0.34171227
0.38256788,0.3105669,0.38719547,0.3945883,0.4689037,0.99999994,0.48156193,0.4633556,0.44123048,0.2778641,0.15821822,0.18603714,0.38299018,0.34024715,0.2774204,0.30224246,0.29816025,0.31631732,0.24713466,0.36271983,0.3313934,0.2599271,0.28883415,0.24459778
0.5015844,0.32955432,0.5435585,0.35402256,0.3664866,0.48156193,0.99999994,0.48630685,0.35437748,0.29011828,0.1144466,0.20019427,0.38825604,0.34278485,0.3402424,0.3666005,0.22484003,0.24318701,0.28217322,0.2665971,0.33691752,0.18860607,0.32231575,0.24123183
0.54303104,0.35893166,0.4540492,0.3822862,0.47553682,0.4633556,0.48630685,1.0000002,0.54123306,0.36383122,0.3555343,0.22417149,0.4794048,0.23158145,0.34303433,0.440232,0.28045785,0.4076427,0.27198035,0.40006724,0.43158403,0.29495287,0.38036203,0.32144475
0.50780976,0.32388207,0.40635985,0.55946314,0.3437391,0.44123048,0.35437748,0.54123306,1.0000002,0.3551135,0.32415164,0.40414056,0.19492486,0.21077773,0.36020866,0.19684505,0.3303271,0.46745706,0.33513424,0.38475323,0.48537734,0.37476385,0.44663852,0.29076904
0.48359865,0.38050553,0.46511212,0.35794047,0.29540738,0.2778641,0.29011828,0.36383122,0.3551135,1.0000001,0.27662796,0.46669993,0.36118358,0.39870608,0.45898446,0.5361768,0.33851808,0.2622281,0.26432043,0.3764831,0.41044196,0.350846,0.50131035,0.42004064
0.2801517,0.2356237,0.23241177,0.22823197,0.2080312,0.15821822,0.1144466,0.3555343,0.32415164,0.27662796,0.9999998,0.24646361,0.28534573,0.17865983,0.27780432,0.20621099,0.16333313,0.27818972,0.27344874,0.29575014,0.24027492,0.23649925,0.3506946,0.1866386
0.28065306,0.27705938,0.28859606,0.4115666,0.14175433,0.18603714,0.20019427,0.22417149,0.40414056,0.46669993,0.24646361,1.0,0.19747537,0.23556775,0.25450963,0.2316013,0.40923062,0.2544425,0.2934952,0.25337118,0.39833564,0.27577782,0.32092714,0.28446394
0.332499,0.5042523,0.34258762,0.28954116,0.32668707,0.38299018,0.38825604,0.4794048,0.19492486,0.36118358,0.28534573,0.19747537,1.0000001,0.37447044,0.36906433,0.42647526,0.15015271,0.20439272,0.22751129,0.31641644,0.24703786,0.2044247,0.2530051,0.31607634
0.28009742,0.30991018,0.32290944,0.22588752,0.31387344,0.34024715,0.34278485,0.23158145,0.21077773,0.39870608,0.17865983,0.23556775,0.37447044,1.0000001,0.5457145,0.46980202,0.38392913,0.22604114,0.38275614,0.37553197,0.31980553,0.33729318,0.395755,0.38766035
0.45432246,0.44093737,0.5181116,0.36842674,0.34794486,0.2774204,0.3402424,0.34303433,0.36020866,0.45898446,0.27780432,0.25450963,0.36906433,0.5457145,1.0000001,0.5187155,0.36515585,0.40616935,0.33861873,0.58713365,0.42814478,0.4082404,0.5670089,0.46137285
0.525679,0.35298058,0.46484876,0.27814642,0.37463808,0.30224246,0.3666005,0.440232,0.19684505,0.5361768,0.20621099,0.2316013,0.42647526,0.46980202,0.5187155,1.0000001,0.2567884,0.26398313,0.25447986,0.43338534,0.44118991,0.31741685,0.5099341,0.4354295
0.29040855,0.18534815,0.2762313,0.20753737,0.27731746,0.29816025,0.22484003,0.28045785,0.3303271,0.33851808,0.16333313,0.40923062,0.15015271,0.38392913,0.36515585,0.2567884,1.0,0.32541358,0.42319822,0.3536157,0.38323465,0.30903465,0.35799634,0.3488428
0.45143238,0.25013846,0.34026408,0.31023127,0.31575048,0.31631732,0.24318701,0.4076427,0.46745706,0.2622281,0.27818972,0.2544425,0.20439272,0.22604114,0.40616935,0.26398313,0.32541358,1.0000001,0.45423412,0.46316907,0.46738303,0.35015833,0.38372558,0.28773427
0.37690502,0.25388986,0.2915917,0.22398603,0.2704561,0.24713466,0.28217322,0.27198035,0.33513424,0.26432043,0.27344874,0.2934952,0.22751129,0.38275614,0.33861873,0.25447986,0.42319822,0.45423412,1.0000004,0.41043863,0.4032714,0.2758379,0.41574073,0.4145088
0.47281814,0.3359422,0.36056045,0.3375823,0.27484483,0.36271983,0.2665971,0.40006724,0.38475323,0.3764831,0.29575014,0.25337118,0.31641644,0.37553197,0.58713365,0.43338534,0.3536157,0.46316907,0.41043863,1.0000001,0.3924059,0.3306159,0.44250563,0.44787875
0.49308276,0.35314447,0.49332088,0.5143049,0.30764157,0.3313934,0.33691752,0.43158403,0.48537734,0.41044196,0.24027492,0.39833564,0.24703786,0.31980553,0.42814478,0.44118991,0.38323465,0.46738303,0.4032714,0.3924059,1.0000002,0.43764025,0.601918,0.51573485
0.29823336,0.2331217,0.26920807,0.38590112,0.36963177,0.2599271,0.18860607,0.29495287,0.37476385,0.350846,0.23649925,0.27577782,0.2044247,0.33729318,0.4082404,0.31741685,0.30903465,0.35015833,0.2758379,0.3306159,0.43764025,1.0,0.38064885,0.38964605
0.56580657,0.32378945,0.5150695,0.38604504,0.382106,0.28883415,0.32231575,0.38036203,0.44663852,0.50131035,0.3506946,0.32092714,0.2530051,0.395755,0.5670089,0.5099341,0.35799634,0.38372558,0.41574073,0.44250563,0.601918,0.38064885,1.0000002,0.5386442
0.43008825,0.34854618,0.39031866,0.33646676,0.34171227,0.24459778,0.24123183,0.32144475,0.29076904,0.42004064,0.1866386,0.28446394,0.31607634,0.38766035,0.46137285,0.4354295,0.3488428,0.28773427,0.4145088,0.44787875,0.51573485,0.38964605,0.5386442,1.0000001
